Configuration info
==================
Target platform:  AMD64-Windows-10.0.26200
Compiler:         gcc (15.2.0)
Compile options:  [-fomit-frame-pointer;-fdata-sections;-ffunction-sections;-Wl,--gc-sections;-Wno-maybe-uninitialized;-Wbad-function-cast;-Wno-unknown-pragmas;-Wno-unused-parameter]
OQS version:      0.16.0 (major: 0, minor: 16, patch: 0)
OpenSSL enabled:  No
AES:              NI
SHA-2:            C
SHA-3:            C
OQS build flags:  OQS_DIST_BUILD OQS_LIBJADE_BUILD OQS_OPT_TARGET=generic CMAKE_BUILD_TYPE=Release 
CPU exts active:  ADX AES AVX AVX2 BMI1 BMI2 PCLMULQDQ POPCNT SSE SSE2 SSE3
Speed test
==========
Started at 2026-09-06 21:42:39
Operation                            | Iterations | Total time (s) | Time (us): mean | pop. stdev | CPU cycles: mean          | pop. stdev
decaps                               |       5154 |          5.000 |         970.120 |    366.791 |                      9698 |       2075
FrodoKEM-976-SHAKE                   |            |                |                 |            |                           |           
keygen                               |        706 |          5.002 |        7084.986 |   1632.227 |                     70844 |      15807
encaps                               |        882 |          5.004 |        5673.469 |   1361.088 |                     56727 |      13043
decaps                               |        776 |          5.005 |        6449.742 |   2080.233 |                     64509 |      20279
FrodoKEM-1344-AES                    |            |                |                 |            |                           |           
keygen                               |       2765 |          5.000 |        1808.318 |    561.066 |                     18077 |       3324
encaps                               |       1738 |          5.002 |        2878.021 |   1079.184 |                     28786 |       9840
decaps                               |       2395 |          5.000 |        2087.683 |    530.327 |                     20867 |       3031
FrodoKEM-1344-SHAKE                  |            |                |                 |            |                           |           
keygen                               |        296 |          5.016 |       16945.946 |   2925.387 |                    169414 |      28974
encaps                               |        314 |          5.003 |       15933.121 |   2787.367 |                    159327 |      27660
decaps                               |        406 |          5.007 |       12332.512 |   2972.000 |                    123304 |      29144
eFrodoKEM-640-AES                    |            |                |                 |            |                           |           
keygen                               |       6170 |          5.000 |         810.373 |    520.275 |                      8102 |       3171
encaps                               |       3970 |          5.000 |        1259.446 |    561.298 |                     12596 |       3677
decaps                               |       8847 |          5.000 |         565.163 |    505.221 |                      5648 |       1334
eFrodoKEM-640-SHAKE                  |            |                |                 |            |                           |           
keygen                               |       1461 |          5.003 |        3424.367 |   1092.847 |                     34239 |       9927
encaps                               |       1223 |          5.002 |        4089.943 |   2114.875 |                     40880 |      20639
decaps                               |       2033 |          5.000 |        2459.420 |    658.256 |                     24586 |       5377
eFrodoKEM-976-AES                    |            |                |                 |            |                           |           
keygen                               |       6073 |          5.000 |         823.316 |    412.911 |                      8229 |       1172
encaps                               |       3679 |          5.000 |        1359.065 |    499.708 |                     13586 |       2636
decaps                               |       5655 |          5.000 |         884.173 |    408.385 |                      8841 |       1723
eFrodoKEM-976-SHAKE                  |            |                |                 |            |                           |           
keygen                               |        860 |          5.000 |        5813.953 |   1887.607 |                     58106 |      18116
encaps                               |        472 |          5.009 |       10612.288 |   3090.461 |                    106153 |      30516
decaps                               |        682 |          5.000 |        7331.378 |   1791.602 |                     73308 |      17294
eFrodoKEM-1344-AES                   |            |                |                 |            |                           |           
keygen                               |       3008 |          5.000 |        1662.234 |    653.558 |                     16631 |       4828
encaps                               |       2973 |          5.042 |        1695.930 |   2382.744 |                     16959 |      23358
decaps                               |       3393 |          5.000 |        1473.622 |    533.546 |                     14727 |       2779
eFrodoKEM-1344-SHAKE                 |            |                |                 |            |                           |           
keygen                               |        435 |          5.006 |       11508.046 |   1318.935 |                    115077 |      12758
encaps                               |        513 |          5.004 |        9754.386 |   1703.713 |                     97548 |      16417
decaps                               |        517 |          5.005 |        9680.851 |   1569.992 |                     96773 |      15189
Ended at 2026-09-06 21:52:11
