alg,op,time_us
SNOVA_37_8_4,verify,4710.92
SNOVA_49_11_3,keypair,6645.42
SNOVA_49_11_3,sign,10597.46
SNOVA_49_11_3,verify,3163.19
SNOVA_56_25_2,keypair,13264.55
SNOVA_56_25_2,sign,12011.99
SNOVA_56_25_2,verify,2696.87
SNOVA_60_10_4,keypair,14872.40
SNOVA_60_10_4,sign,40701.61
SNOVA_60_10_4,verify,19857.14
cross-rsdp-128-balanced,keypair,379.22
cross-rsdp-128-balanced,sign,2038.73
cross-rsdp-128-balanced,verify,905.80
cross-rsdp-128-fast,keypair,364.03
cross-rsdp-128-fast,sign,1611.15
cross-rsdp-128-fast,verify,431.00
cross-rsdp-128-small,keypair,343.29
cross-rsdp-128-small,sign,4092.47
cross-rsdp-128-small,verify,1874.44
cross-rsdp-192-balanced,keypair,411.83
cross-rsdp-192-balanced,sign,3547.52
cross-rsdp-192-balanced,verify,1709.99
cross-rsdp-192-fast,keypair,413.12
cross-rsdp-192-fast,sign,2172.97
cross-rsdp-192-fast,verify,989.32
cross-rsdp-192-small,keypair,386.34
cross-rsdp-192-small,sign,5313.16
cross-rsdp-192-small,verify,3141.96
cross-rsdp-256-balanced,keypair,469.97
cross-rsdp-256-balanced,sign,6796.20
cross-rsdp-256-balanced,verify,5033.20
cross-rsdp-256-fast,keypair,509.63
cross-rsdp-256-fast,sign,4544.96
cross-rsdp-256-fast,verify,2000.40
cross-rsdp-256-small,keypair,419.81
cross-rsdp-256-small,sign,10824.67
cross-rsdp-256-small,verify,6625.17
cross-rsdpg-128-balanced,keypair,463.78
cross-rsdpg-128-balanced,sign,1892.17
cross-rsdpg-128-balanced,verify,603.36
cross-rsdpg-128-fast,keypair,556.98
cross-rsdpg-128-fast,sign,1223.99
cross-rsdpg-128-fast,verify,288.27
cross-rsdpg-128-small,keypair,418.38
cross-rsdpg-128-small,sign,3045.68
cross-rsdpg-128-small,verify,1605.65
cross-rsdpg-192-balanced,keypair,439.14
cross-rsdpg-192-balanced,sign,1961.55
cross-rsdpg-192-balanced,verify,871.54
cross-rsdpg-192-fast,keypair,358.83
cross-rsdpg-192-fast,sign,1530.92
cross-rsdpg-192-fast,verify,640.86
cross-rsdpg-192-small,keypair,360.23
cross-rsdpg-192-small,sign,3577.25
cross-rsdpg-192-small,verify,1760.56
cross-rsdpg-256-balanced,keypair,384.38
cross-rsdpg-256-balanced,sign,3004.20
cross-rsdpg-256-balanced,verify,1365.75
cross-rsdpg-256-fast,keypair,373.22
cross-rsdpg-256-fast,sign,2323.42
cross-rsdpg-256-fast,verify,1039.49
cross-rsdpg-256-small,keypair,366.73
cross-rsdpg-256-small,sign,4883.79
cross-rsdpg-256-small,verify,2565.42
eFrodoKEM-1344-AES,decaps,1473.62
eFrodoKEM-1344-AES,encaps,1695.93
eFrodoKEM-1344-AES,keygen,1662.23
eFrodoKEM-1344-SHAKE,decaps,9680.85
eFrodoKEM-1344-SHAKE,encaps,9754.39
eFrodoKEM-1344-SHAKE,keygen,11508.05
eFrodoKEM-640-AES,decaps,565.16
eFrodoKEM-640-AES,encaps,1259.45
eFrodoKEM-640-AES,keygen,810.37
eFrodoKEM-640-SHAKE,decaps,2459.42
eFrodoKEM-640-SHAKE,encaps,4089.94
eFrodoKEM-640-SHAKE,keygen,3424.37
eFrodoKEM-976-AES,decaps,884.17
eFrodoKEM-976-AES,encaps,1359.07
eFrodoKEM-976-AES,keygen,823.32
eFrodoKEM-976-SHAKE,decaps,7331.38
eFrodoKEM-976-SHAKE,encaps,10612.29
eFrodoKEM-976-SHAKE,keygen,5813.95
mqom2_cat1_gf16_fast_r3,keypair,1146.53
mqom2_cat1_gf16_fast_r3,sign,4533.09
mqom2_cat1_gf16_fast_r3,verify,2908.67
sntrup761,decaps,216.29
sntrup761,encaps,430.55
sntrup761,keygen,6199.50
